"Country or Area","Year(s)","Variant","Value"
"Dominica","2077","Upper 95 PI","81.222"
"Dominica","2077","Lower 95 PI","49.102"
"Dominica","2076","Medium","65.2"
"Dominica","2076","High","82.48"
"Dominica","2076","Low","50.953"
"Dominica","2076","Constant fertility","64.917"
"Dominica","2076","Instant replacement","83.683"
"Dominica","2076","Zero migration","69.922"
"Dominica","2076","Constant mortality","57.037"
"Dominica","2076","No change","56.754"
"Dominica","2076","Momentum","80.403"
"Dominica","2076","Instant replacement zero migration","89.121"
"Dominica","2076","Median PI","65.2"
"Dominica","2076","Upper 80 PI","76.043"
"Dominica","2076","Lower 80 PI","55.142"
"Dominica","2076","Upper 95 PI","81.306"
"Dominica","2076","Lower 95 PI","49.844"
"Dominica","2075","Medium","65.686"
"Dominica","2075","High","82.522"
"Dominica","2075","Low","51.73"
"Dominica","2075","Constant fertility","65.412"
"Dominica","2075","Instant replacement","83.735"
"Dominica","2075","Zero migration","70.297"
"Dominica","2075","Constant mortality","57.701"
"Dominica","2075","No change","57.429"
"Dominica","2075","Momentum","80.53"
"Dominica","2075","Instant replacement zero migration","89.032"
"Dominica","2075","Median PI","65.686"
"Dominica","2075","Upper 80 PI","76.317"
"Dominica","2075","Lower 80 PI","55.759"
"Dominica","2075","Upper 95 PI","81.416"
"Dominica","2075","Lower 95 PI","50.536"
"Dominica","2074","Medium","66.156"
"Dominica","2074","High","82.553"
"Dominica","2074","Low","52.499"
"Dominica","2074","Constant fertility","65.894"
"Dominica","2074","Instant replacement","83.778"
"Dominica","2074","Zero migration","70.662"
"Dominica","2074","Constant mortality","58.359"
"Dominica","2074","No change","58.099"
"Dominica","2074","Momentum","80.657"
"Dominica","2074","Instant replacement zero migration","88.938"
"Dominica","2074","Median PI","66.156"
"Dominica","2074","Upper 80 PI","76.576"
"Dominica","2074","Lower 80 PI","56.434"
"Dominica","2074","Upper 95 PI","81.506"
"Dominica","2074","Lower 95 PI","51.243"
"Dominica","2073","Medium","66.623"
"Dominica","2073","High","82.578"
"Dominica","2073","Low","53.252"
"Dominica","2073","Constant fertility","66.373"
"Dominica","2073","Instant replacement","83.817"
"Dominica","2073","Zero migration","71.017"
"Dominica","2073","Constant mortality","59.013"
"Dominica","2073","No change","58.759"
"Dominica","2073","Momentum","80.782"
"Dominica","2073","Instant replacement zero migration","88.835"
"Dominica","2073","Median PI","66.623"
"Dominica","2073","Upper 80 PI","76.805"
"Dominica","2073","Lower 80 PI","57.138"
"Dominica","2073","Upper 95 PI","81.572"
"Dominica","2073","Lower 95 PI","51.955"
"Dominica","2072","Medium","67.078"
"Dominica","2072","High","82.594"
"Dominica","2072","Low","53.999"
"Dominica","2072","Constant fertility","66.832"
"Dominica","2072","Instant replacement","83.846"
"Dominica","2072","Zero migration","71.361"
"Dominica","2072","Constant mortality","59.66"
"Dominica","2072","No change","59.414"
"Dominica","2072","Momentum","80.901"
"Dominica","2072","Instant replacement zero migration","88.726"
"Dominica","2072","Median PI","67.078"
"Dominica","2072","Upper 80 PI","77.008"
"Dominica","2072","Lower 80 PI","57.792"
"Dominica","2072","Upper 95 PI","81.646"
"Dominica","2072","Lower 95 PI","52.674"
"Dominica","2071","Medium","67.516"
"Dominica","2071","High","82.599"
"Dominica","2071","Low","54.739"
"Dominica","2071","Constant fertility","67.278"
"Dominica","2071","Instant replacement","83.865"
"Dominica","2071","Zero migration","71.698"
"Dominica","2071","Constant mortality","60.294"
"Dominica","2071","No change","60.066"
"Dominica","2071","Momentum","81.019"
"Dominica","2071","Instant replacement zero migration","88.615"
"Dominica","2071","Median PI","67.516"
"Dominica","2071","Upper 80 PI","77.236"
"Dominica","2071","Lower 80 PI","58.456"
"Dominica","2071","Upper 95 PI","81.732"
"Dominica","2071","Lower 95 PI","53.391"
"Dominica","2070","Medium","67.939"
"Dominica","2070","High","82.59"
"Dominica","2070","Low","55.464"
"Dominica","2070","Constant fertility","67.724"
"Dominica","2070","Instant replacement","83.874"
"Dominica","2070","Zero migration","72.019"
"Dominica","2070","Constant mortality","60.919"
"Dominica","2070","No change","60.706"
"Dominica","2070","Momentum","81.123"
"Dominica","2070","Instant replacement zero migration","88.496"
"Dominica","2070","Median PI","67.94"
"Dominica","2070","Upper 80 PI","77.407"
"Dominica","2070","Lower 80 PI","59.053"
"Dominica","2070","Upper 95 PI","81.81"
"Dominica","2070","Lower 95 PI","54.093"
"Dominica","2069","Medium","68.351"
"Dominica","2069","High","82.57"
"Dominica","2069","Low","56.173"
"Dominica","2069","Constant fertility","68.15"
"Dominica","2069","Instant replacement","83.87"
"Dominica","2069","Zero migration","72.324"
"Dominica","2069","Constant mortality","61.535"
"Dominica","2069","No change","61.332"
"Dominica","2069","Momentum","81.218"
"Dominica","2069","Instant replacement zero migration","88.365"
"Dominica","2069","Median PI","68.351"
"Dominica","2069","Upper 80 PI","77.489"
"Dominica","2069","Lower 80 PI","59.624"
"Dominica","2069","Upper 95 PI","81.86"
"Dominica","2069","Lower 95 PI","54.849"
"Dominica","2068","Medium","68.754"
"Dominica","2068","High","82.538"
"Dominica","2068","Low","56.876"
"Dominica","2068","Constant fertility","68.56"
"Dominica","2068","Instant replacement","83.852"
"Dominica","2068","Zero migration","72.616"
"Dominica","2068","Constant mortality","62.139"
"Dominica","2068","No change","61.952"
"Dominica","2068","Momentum","81.303"
"Dominica","2068","Instant replacement zero migration","88.216"
"Dominica","2068","Median PI","68.755"
"Dominica","2068","Upper 80 PI","77.579"
"Dominica","2068","Lower 80 PI","60.222"
"Dominica","2068","Upper 95 PI","81.865"
"Dominica","2068","Lower 95 PI","55.612"
"Dominica","2067","Medium","69.144"
"Dominica","2067","High","82.497"
"Dominica","2067","Low","57.573"
"Dominica","2067","Constant fertility","68.962"
"Dominica","2067","Instant replacement","83.823"
"Dominica","2067","Zero migration","72.894"
"Dominica","2067","Constant mortality","62.731"
"Dominica","2067","No change","62.562"
"Dominica","2067","Momentum","81.368"
"Dominica","2067","Instant replacement zero migration","88.052"
"Dominica","2067","Median PI","69.144"
"Dominica","2067","Upper 80 PI","77.673"
"Dominica","2067","Lower 80 PI","60.821"
"Dominica","2067","Upper 95 PI","81.84"
"Dominica","2067","Lower 95 PI","56.32"
"Dominica","2066","Medium","69.52"
"Dominica","2066","High","82.445"
"Dominica","2066","Low","58.261"
"Dominica","2066","Constant fertility","69.353"
"Dominica","2066","Instant replacement","83.782"
"Dominica","2066","Zero migration","73.162"
"Dominica","2066","Constant mortality","63.309"
"Dominica","2066","No change","63.148"
"Dominica","2066","Momentum","81.41"
"Dominica","2066","Instant replacement zero migration","87.882"
"Dominica","2066","Median PI","69.52"
"Dominica","2066","Upper 80 PI","77.764"
"Dominica","2066","Lower 80 PI","61.357"
"Dominica","2066","Upper 95 PI","81.805"
"Dominica","2066","Lower 95 PI","56.972"
"Dominica","2065","Medium","69.889"
"Dominica","2065","High","82.381"
"Dominica","2065","Low","58.938"
"Dominica","2065","Constant fertility","69.734"
"Dominica","2065","Instant replacement","83.726"
"Dominica","2065","Zero migration","73.421"
"Dominica","2065","Constant mortality","63.871"
"Dominica","2065","No change","63.721"
"Dominica","2065","Momentum","81.442"
"Dominica","2065","Instant replacement zero migration","87.695"
"Dominica","2065","Median PI","69.89"
"Dominica","2065","Upper 80 PI","77.911"
"Dominica","2065","Lower 80 PI","61.909"
"Dominica","2065","Upper 95 PI","81.807"
"Dominica","2065","Lower 95 PI","57.663"
"Dominica","2064","Medium","70.243"
"Dominica","2064","High","82.305"
"Dominica","2064","Low","59.598"
"Dominica","2064","Constant fertility","70.1"
"Dominica","2064","Instant replacement","83.656"
"Dominica","2064","Zero migration","73.672"
"Dominica","2064","Constant mortality","64.419"
"Dominica","2064","No change","64.282"
"Dominica","2064","Momentum","81.463"
"Dominica","2064","Instant replacement zero migration","87.499"
"Dominica","2064","Median PI","70.243"
"Dominica","2064","Upper 80 PI","78.048"
"Dominica","2064","Lower 80 PI","62.507"
"Dominica","2064","Upper 95 PI","81.862"
"Dominica","2064","Lower 95 PI","58.309"
"Dominica","2063","Medium","70.585"
"Dominica","2063","High","82.222"
"Dominica","2063","Low","60.251"
"Dominica","2063","Constant fertility","70.457"
"Dominica","2063","Instant replacement","83.57"
"Dominica","2063","Zero migration","73.91"
"Dominica","2063","Constant mortality","64.956"
"Dominica","2063","No change","64.832"
"Dominica","2063","Momentum","81.468"
"Dominica","2063","Instant replacement zero migration","87.287"
"Dominica","2063","Median PI","70.585"
"Dominica","2063","Upper 80 PI","78.157"
"Dominica","2063","Lower 80 PI","63.038"
"Dominica","2063","Upper 95 PI","81.953"
"Dominica","2063","Lower 95 PI","58.997"
"Dominica","2062","Medium","70.92"
"Dominica","2062","High","82.132"
"Dominica","2062","Low","60.895"
"Dominica","2062","Constant fertility","70.805"
"Dominica","2062","Instant replacement","83.477"
"Dominica","2062","Zero migration","74.135"
"Dominica","2062","Constant mortality","65.481"
"Dominica","2062","No change","65.367"
"Dominica","2062","Momentum","81.458"
"Dominica","2062","Instant replacement zero migration","87.064"
"Dominica","2062","Median PI","70.92"
"Dominica","2062","Upper 80 PI","78.269"
"Dominica","2062","Lower 80 PI","63.567"
"Dominica","2062","Upper 95 PI","82.009"
"Dominica","2062","Lower 95 PI","59.756"
"Dominica","2061","Medium","71.237"
"Dominica","2061","High","82.035"
"Dominica","2061","Low","61.523"
"Dominica","2061","Constant fertility","71.141"
"Dominica","2061","Instant replacement","83.371"
"Dominica","2061","Zero migration","74.354"
"Dominica","2061","Constant mortality","65.985"
"Dominica","2061","No change","65.887"
"Dominica","2061","Momentum","81.427"
"Dominica","2061","Instant replacement zero migration","86.836"
"Dominica","2061","Median PI","71.237"
"Dominica","2061","Upper 80 PI","78.365"
"Dominica","2061","Lower 80 PI","64.143"
"Dominica","2061","Upper 95 PI","82.013"
"Dominica","2061","Lower 95 PI","60.426"
"Dominica","2060","Medium","71.544"
"Dominica","2060","High","81.929"
"Dominica","2060","Low","62.145"
"Dominica","2060","Constant fertility","71.463"
"Dominica","2060","Instant replacement","83.252"
"Dominica","2060","Zero migration","74.566"
"Dominica","2060","Constant mortality","66.474"
"Dominica","2060","No change","66.39"
"Dominica","2060","Momentum","81.386"
"Dominica","2060","Instant replacement zero migration","86.602"
"Dominica","2060","Median PI","71.544"
"Dominica","2060","Upper 80 PI","78.446"
"Dominica","2060","Lower 80 PI","64.725"
"Dominica","2060","Upper 95 PI","82"
"Dominica","2060","Lower 95 PI","61.055"
"Dominica","2059","Medium","71.85"
"Dominica","2059","High","81.823"
"Dominica","2059","Low","62.757"
"Dominica","2059","Constant fertility","71.779"
"Dominica","2059","Instant replacement","83.13"
"Dominica","2059","Zero migration","74.764"
"Dominica","2059","Constant mortality","66.953"
"Dominica","2059","No change","66.88"
"Dominica","2059","Momentum","81.342"
"Dominica","2059","Instant replacement zero migration","86.357"
"Dominica","2059","Median PI","71.851"
"Dominica","2059","Upper 80 PI","78.5"
"Dominica","2059","Lower 80 PI","65.274"
"Dominica","2059","Upper 95 PI","81.917"
"Dominica","2059","Lower 95 PI","61.663"
"Dominica","2058","Medium","72.141"
"Dominica","2058","High","81.712"
"Dominica","2058","Low","63.353"
"Dominica","2058","Constant fertility","72.082"
"Dominica","2058","Instant replacement","83"
"Dominica","2058","Zero migration","74.952"
"Dominica","2058","Constant mortality","67.422"
"Dominica","2058","No change","67.367"
"Dominica","2058","Momentum","81.282"
"Dominica","2058","Instant replacement zero migration","86.108"
"Dominica","2058","Median PI","72.142"
"Dominica","2058","Upper 80 PI","78.561"
"Dominica","2058","Lower 80 PI","65.801"
"Dominica","2058","Upper 95 PI","81.815"
"Dominica","2058","Lower 95 PI","62.268"
"Dominica","2057","Medium","72.427"
"Dominica","2057","High","81.601"
"Dominica","2057","Low","63.94"
"Dominica","2057","Constant fertility","72.38"
"Dominica","2057","Instant replacement","82.868"
"Dominica","2057","Zero migration","75.131"
"Dominica","2057","Constant mortality","67.876"
"Dominica","2057","No change","67.835"
"Dominica","2057","Momentum","81.212"
"Dominica","2057","Instant replacement zero migration","85.853"
"Dominica","2057","Median PI","72.426"
"Dominica","2057","Upper 80 PI","78.657"
"Dominica","2057","Lower 80 PI","66.3"
"Dominica","2057","Upper 95 PI","81.748"
"Dominica","2057","Lower 95 PI","62.879"
"Dominica","2056","Medium","72.701"
"Dominica","2056","High","81.492"
"Dominica","2056","Low","64.513"
"Dominica","2056","Constant fertility","72.669"
"Dominica","2056","Instant replacement","82.73"
"Dominica","2056","Zero migration","75.308"
"Dominica","2056","Constant mortality","68.323"
"Dominica","2056","No change","68.291"
"Dominica","2056","Momentum","81.145"
"Dominica","2056","Instant replacement zero migration","85.601"
"Dominica","2056","Median PI","72.702"
"Dominica","2056","Upper 80 PI","78.725"
"Dominica","2056","Lower 80 PI","66.762"
